;openalex_id;journal_id;journal_name;publication_year;has_osf;has_git;doi;country;author;title;keywords;method_quali;open_answers;interview;observation;documents;method_quanti;one_m;multiple_m;quasiexperiment;experiment;intervention;primary_data;secondary_data;review;method_other;open_data;open_code;open_material;open_analysis;prerig;notes2;study_type;
57;W4210578668;S2764918247;Cogent Education;2022;TRUE;FALSE;https://doi.org/10.1080/2331186x.2022.2034390;South Africa;"Slabbert, C.; de Lange, R. W.; Mason, H.";Anthropomorphisms in multimedia learning: Do they facilitate learning in primary school learners?;"emotional design; multimedia learning; anthropomorphisms; learning facilitation";0;0;0;0;0;1;0;1;1;0;1;1;0;0;NA;0;0;1;0;NA;fragebogen;quantitative;
59;W3211926692;S2738008561;Education Sciences;2021;FALSE;TRUE;https://doi.org/10.3390/educsci11110719;Russia;"Sychev, O.; Penskoy, N.; Anikin, A.; Denisov, M.; Prokudin, A.";Improving Comprehension: Intelligent Tutoring System Explaining the Domain Rules When Students Break Them;"Blooms taxonomy; adaptive learning; cognitive learning; constraint-based tutors; intelligent tutoring system";0;0;0;0;0;1;0;1;1;0;1;1;0;0;NA;0;1;0;0;NA;software;quantitative;
62;W4407555354;S2596526815;Frontiers in Education;2025;TRUE;FALSE;https://doi.org/10.3389/feduc.2025.1445548;Portugal;"Morais, E.; Santos, A. C.; Mouraz, A.";Validation and proposal of a short version of the Motivated Strategies for Learning Questionnaire (MSLQ) for Portuguese adolescent students;"questionnaire; validation; psychometrics; self-regulated learning; adolescents";0;0;0;0;0;1;1;0;0;0;0;1;0;0;NA;1;1;1;0;NA;NA;quantitative;
63;W4403764405;S2738008561;Education Sciences;2024;TRUE;FALSE;https://doi.org/10.3390/educsci14111155;Portugal;"Magalhes, S.; Carvalheiras, C.; Ribeiro, C.; Francisco, C.; Mourisco, C.; Leal, T.; Limpo, T.";Effectiveness and Long-Term Effects of SER + FELIZ (mente): A School-Based Mindfulness Program for Portuguese Elementary Students;"school-based mindfulness programs; attentional control; emotional regulation; wellbeing; elementary students";0;0;0;0;0;1;0;1;1;0;1;1;0;0;NA;1;0;0;0;NA;NA;quantitative;
64;W4387048380;S2738008561;Education Sciences;2023;FALSE;TRUE;https://doi.org/10.3390/educsci13100984;Poland;"Swacha, J.; Szyd?owska, J.";Does Gamification Make a Difference in Programming Education? Evaluating FGPE-Supported Learning Outcomes;"gamification in education; interactive learning environment; programming learning environment; gamified learning outcomes; learning outcomes assessment";0;0;0;0;0;1;0;0;1;0;1;0;0;0;NA;0;0;1;0;NA;course_material;quantitative;
65;W4402234709;S2764918247;Cogent Education;2024;TRUE;FALSE;https://doi.org/10.1080/2331186x.2024.2398851;Peru;"Torres-Munares, M. S.; Hurtado-Flores, A. C.; Carrera-Salas, E. A.";Gamification applied with the SOAR study method for time management of university students;"Time management; study method; gamification; university students; mobile apps; academic activities";0;0;0;0;0;1;0;1;1;0;1;1;0;0;NA;1;0;0;0;NA;NA;quantitative;
66;W7139971935;S2764918247;Cogent Education;2026;FALSE;TRUE;https://doi.org/10.1080/2331186x.2026.2644704;Norway;"Johansen, M. O.; Jeno, L. M.; Cotner, S. H.";The role of competence and autonomy support in instructor motivation: a path model in Norwegian higher education;"Higher education; instructors; autonomy support; competence; intrinsic motivation";0;0;0;0;0;1;1;0;0;0;0;1;0;0;NA;0;1;0;0;NA;NA;quantitative;
69;W2921821709;S4210191100;Frontline Learning Research;2018;TRUE;FALSE;https://doi.org/10.14786/flr.v6i3.372;Netherlands;"Donker, M. H.; van Gog, T.; Mainhard, M. T.";A Quantitative Exploration of Two Teachers with Contrasting Emotions: Intra-Individual Process Analyses of Physiology and Interpersonal Behavior;"Teacher emotions; process analyses; physiology; heart rate; interpersonal teacher behavior";0;0;0;0;0;1;0;1;0;0;0;1;0;0;NA;1;1;0;0;NA;NA;quantitative;
71;W4403576529;S2764918247;Cogent Education;2024;TRUE;FALSE;https://doi.org/10.1080/2331186x.2024.2408834;Netherlands;"Cramer, J.; Yazilitas, D.; Bruynzeel, A.; Romp, S.; Smeets, I.; De Bruyckere, P.";The effect of tutoring primary school pupils by university students on STEM interest: a pre-registered randomised controlled trial;"STEM; tutoring; diversity; socioeconomic status; primary education";0;0;0;0;0;1;0;1;0;1;1;1;0;0;NA;0;0;0;0;1;no_files;quantitative;
72;W4414366094;S2596526815;Frontiers in Education;2025;TRUE;FALSE;https://doi.org/10.3389/feduc.2025.1658415;Netherlands;"Jongkind, R.; Bikker, Y.; Meinema, J.; Broens, T.";Studying with GenAI: cross-sectional study on usage patterns, needs, competencies, and ethical perspectives of medical informatics students;"generative AI; GenAI literacy; GenAI usage patterns; higher education; ethical attitudes; GenAI competences and skills; DigComp 2.2; GenAI skill development";0;0;0;0;0;1;0;1;0;0;0;1;0;0;NA;1;0;0;0;NA;NA;quantitative;
73;W3188444373;S2596526815;Frontiers in Education;2021;TRUE;FALSE;https://doi.org/10.3389/feduc.2021.712987;Netherlands;"van der Velde, M.; Sense, F.; Spijkers, R.; Meeter, M.; van Rijn, H.";Lockdown Learning: Changes in Online Foreign-Language Study Activity and Performance of Dutch Secondary School Students During the COVID-19 Pandemic;"distance learning; learning analytics; COVID-19; Technology-enhanced learning; secondary education";0;0;0;0;0;1;0;1;0;0;0;1;1;0;NA;0;0;1;0;NA;supplement_results;quantitative;
74;W3176599558;S2596526815;Frontiers in Education;2021;TRUE;FALSE;https://doi.org/10.3389/feduc.2021.629053;Netherlands;"van Hoogmoed, A. H.; Huijsmans, M. D. E.; Kroesbergen, E. H.";Non-Symbolic Numerosity and Symbolic Numbers are not Processed Intuitively in Children: Evidence From an Event-Related Potential Study;"ANS mapping account; ANS theory; Children; Non-symbolic numerosity; Symbolic number processing; ERP";0;0;0;0;0;1;0;1;0;1;0;1;0;0;NA;1;1;1;0;NA;study_material;quantitative;
